,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,new_addition
73,msisensor-pro,xjtu-omics/msisensor-pro,msi-detection,True,https://github.com/xjtu-omics/msisensor-pro,https://github.com/xjtu-omics/msisensor-pro,,2019-07-04 11:30:56,2021-02-03 13:16:10,2021-02-03 13:15:59,7.0,8.0,10.0,24,132.0,2021-02-01 13:51:06,1.2.0,5.0,Microsatellite Instability (MSI) detection using high-throughput sequencing data.,,,2.0,10,2,1.0,0.0,
74,IMGTHLA,ANHIG/IMGTHLA,mhc-hla,True,https://github.com/ANHIG/IMGTHLA,https://github.com/ANHIG/IMGTHLA,,2014-09-27 18:57:55,2021-02-04 13:05:19,2021-02-04 13:05:18,35.0,,80.0,81,,,,7.0,Github for files currently published in the IPD-IMGT/HLA FTP Directory hosted at the European Bioinformatics Institute.,,,4.0,9,3,,,True
75,tabix,samtools/tabix,others,True,https://github.com/samtools/tabix,https://github.com/samtools/tabix,,2012-03-09 01:46:15,2020-12-08 17:07:45,2013-12-16 15:52:13,37.0,7.0,6.0,80,84.0,,,,Note: tabix and bgzip binaries are now part of the HTSlib project.,,,4.0,9,3,,,
76,RepeatMasker,rmhubley/RepeatMasker,others,True,https://github.com/rmhubley/RepeatMasker,https://github.com/rmhubley/RepeatMasker,,2017-04-17 19:26:34,2021-02-04 03:31:07,2020-09-02 22:20:22,25.0,27.0,59.0,69,89.0,,,,RepeatMasker is a program that screens DNA sequences for interspersed repeats and low complexity DNA sequences.,,,3.0,9,3,,,
77,HLA,humanlongevity/HLA,mhc-hla,True,https://github.com/humanlongevity/HLA,https://github.com/humanlongevity/HLA,,2017-06-20 00:18:07,2018-10-11 14:16:08,2017-10-04 19:06:05,34.0,39.0,16.0,67,160.0,,,,xHLA: Fast and accurate HLA typing from short read sequence data.,,,4.0,9,3,,,
78,bedtk,lh3/bedtk,bed-gtf-gff,True,https://github.com/lh3/bedtk,https://github.com/lh3/bedtk,MIT,2019-10-02 18:29:37,2020-08-19 16:07:13,2020-08-19 16:06:45,9.0,1.0,,101,26.0,,,,A simple toolset for BED files (warning: CLI may change before bedtk becomes stable).,,,2.0,8,3,,,
79,AnnotSV,lgmgeo/AnnotSV,structural-variation,True,https://github.com/lgmgeo/AnnotSV,https://github.com/lgmgeo/AnnotSV,GPL-3.0,2019-07-09 11:05:44,2021-02-01 10:03:51,2021-01-19 12:55:19,11.0,3.0,33.0,57,96.0,,,,Annotation and Ranking of Structural Variation.,,,2.0,8,3,,,
80,msisensor2,niu-lab/msisensor2,msi-detection,True,https://github.com/niu-lab/msisensor2,https://github.com/niu-lab/msisensor2,GPL-3.0,2019-08-26 07:21:04,2019-11-21 13:28:32,2019-11-21 13:28:02,12.0,16.0,3.0,51,23.0,,,,Microsatellite instability (MSI) detection for tumor only data.,,,3.0,8,3,,,
81,pblat,icebert/pblat,sequence-alignment,True,https://github.com/icebert/pblat,https://github.com/icebert/pblat,,2014-09-23 05:25:02,2020-06-14 15:31:47,2020-06-14 15:12:26,9.0,3.0,11.0,32,43.0,2020-06-14 15:31:47,2.5,10.0,parallelized blat with multi-threads support.,,,5.0,8,2,,,
82,tabtk,lh3/tabtk,others,True,https://github.com/lh3/tabtk,https://github.com/lh3/tabtk,,2014-09-08 14:01:44,2016-09-08 13:57:23,2016-08-11 18:12:28,12.0,,1.0,53,20.0,2016-09-08 13:57:23,0.1,1.0,Toolkit for processing TAB-delimited format.,,,,6,3,,,
83,blat,djhshih/blat,sequence-alignment,True,https://github.com/djhshih/blat,https://github.com/djhshih/blat,,2017-01-02 05:30:20,2019-01-11 22:22:14,2019-01-11 22:22:13,5.0,,1.0,10,34.0,2017-01-02 08:00:11,35.1,1.0,BLAST-Like Alignment Tool.,,,,6,2,,,
84,clustal-omega,GSLBiotech/clustal-omega,sequence-alignment,True,https://github.com/GSLBiotech/clustal-omega,https://github.com/GSLBiotech/clustal-omega,GPL-2.0,2017-12-18 19:14:55,2018-01-03 00:22:14,2018-01-02 23:18:13,1.0,1.0,,4,4.0,2018-01-02 23:27:45,1.2.4-cmake,2.0,Multiple sequence aligner for protein and DNA/RNA.,,,2.0,6,2,,,
85,msisensor-ct,niu-lab/msisensor-ct,msi-detection,True,https://github.com/niu-lab/msisensor-ct,https://github.com/niu-lab/msisensor-ct,GPL-3.0,2020-06-18 13:42:02,2021-01-29 07:28:29,2021-01-29 07:28:28,,2.0,,4,36.0,,,,Microsatellite instability (MSI) detection for cfDNA samples.,,,2.0,6,3,,,
86,t-coffee,GSLBiotech/t-coffee,sequence-alignment,True,https://github.com/GSLBiotech/t-coffee,https://github.com/GSLBiotech/t-coffee,,2017-12-18 21:38:38,2020-02-13 04:27:43,2020-02-12 22:32:51,,,,2,23.0,2020-02-13 04:27:43,11.00.8cbe486-thread4,5.0,"Tools for multiple alignments of DNA, RNA, and Proteins.",,,5.0,5,3,,,
87,mafft,GSLBiotech/mafft,sequence-alignment,True,https://github.com/GSLBiotech/mafft,https://github.com/GSLBiotech/mafft,,2018-08-08 01:56:16,2020-09-17 14:57:19,2020-09-17 14:52:12,3.0,1.0,,7,4.0,2018-08-08 02:32:41,7.407-without-extensions-msvc,1.0,Align multiple amino acid or nucleotide sequences.,,,2.0,4,3,,,
88,muscle,GSLBiotech/muscle,sequence-alignment,True,https://github.com/GSLBiotech/muscle,https://github.com/GSLBiotech/muscle,,2018-08-21 16:00:26,2020-10-07 16:23:21,2020-10-07 16:13:14,1.0,,,2,9.0,2020-02-11 15:34:07,3.8.1551.gsl3,1.0,Multiple Sequence Comparison by Log-Expectation.,,,4.0,3,3,,,
