,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads
73,velvet,dzerbino/velvet,assembler,True,https://github.com/dzerbino/velvet,https://github.com/dzerbino/velvet,GPL-2.0,2008-11-07 18:01:58,2018-07-05 15:48:40,2014-08-15 16:13:23,84.0,,32.0,233,400.0,2018-07-05 15:48:40,1.2.10,1.0,Short read de novo assembler using de Bruijn graphs.,,,15.0,12,3,,
74,SpliceAI,Illumina/SpliceAI,variant-annotation,True,https://github.com/Illumina/SpliceAI,https://github.com/Illumina/SpliceAI,,2019-01-02 20:37:36,2020-12-09 22:35:22,2020-05-15 06:15:05,66.0,,62.0,166,160.0,,,,A deep learning-based tool to identify splice variants.,4.0,4.0,11.0,12,2,,
75,FastQC,s-andrews/FastQC,qc-fastq,True,https://github.com/s-andrews/FastQC,https://github.com/s-andrews/FastQC,,2017-12-21 11:48:51,2021-01-13 13:18:07,2021-01-13 13:18:06,43.0,21.0,44.0,160,49.0,2020-01-08 14:24:09,0.11.9,4.0,A quality control analysis tool for high throughput sequencing data.,,,7.0,12,3,,
76,hmmer,EddyRivasLab/hmmer,others,True,https://github.com/EddyRivasLab/hmmer,https://github.com/EddyRivasLab/hmmer,,2015-08-30 03:14:51,2021-02-17 17:28:19,2020-11-27 12:44:21,41.0,7.0,182.0,155,1758.0,,,,HMMER: biological sequence analysis using profile HMMs.,,,18.0,12,3,,
77,msisensor,ding-lab/msisensor,msi-detection,True,https://github.com/ding-lab/msisensor,https://github.com/ding-lab/msisensor,MIT,2013-09-26 19:18:35,2021-01-06 07:12:42,2021-01-06 07:12:41,45.0,10.0,32.0,103,109.0,2019-05-21 19:01:18,0.6,6.0,microsatellite instability detection using tumor only or paired tumor-normal data.,,,5.0,12,1,338.0,10.0
78,tophat,DaehwanKimLab/tophat,ngs-alignment,True,https://github.com/DaehwanKimLab/tophat,https://github.com/DaehwanKimLab/tophat,BSL-1.0,2015-03-30 17:43:30,2018-05-24 15:26:49,2018-05-24 15:24:31,35.0,35.0,11.0,87,4353.0,,,,Spliced read mapper for RNA-Seq.,,,25.0,12,3,,
79,minia,GATB/minia,assembler,True,https://github.com/GATB/minia,https://github.com/GATB/minia,AGPL-3.0,2016-04-07 09:27:59,2020-06-07 21:28:58,2020-06-07 21:20:09,9.0,5.0,19.0,59,247.0,2020-06-07 21:39:12,3.2.4,6.0,Minia is a short-read assembler based on a de Bruijn graph.,,,10.0,12,3,5004.0,86.0
80,jannovar,charite/jannovar,variant-annotation,True,https://github.com/charite/jannovar,https://github.com/charite/jannovar,,2013-07-07 12:57:20,2021-01-26 13:18:43,2019-11-13 13:37:47,28.0,39.0,204.0,39,1974.0,2019-07-30 09:08:49,0.33,23.0,Annotation of VCF variants with functional impact and from databases (executable+library).,1.0,1.0,21.0,12,2,199.0,2.0
81,RepeatHMM,WGLab/RepeatHMM,structural-variation,True,https://github.com/WGLab/RepeatHMM,https://github.com/WGLab/RepeatHMM,,2016-07-12 06:23:38,2021-02-19 02:56:38,2021-02-19 02:56:18,12.0,5.0,29.0,22,166.0,2020-12-03 17:34:24,2.0.3,5.0,a hidden Markov model to infer simple repeats from genome sequences.,,,10.0,12,3,41.0,0.0
82,hap.py,Illumina/hap.py,vcf-bcf,True,https://github.com/Illumina/hap.py,https://github.com/Illumina/hap.py,,2015-04-28 12:43:18,2020-02-27 19:38:12,2020-02-13 23:21:32,77.0,68.0,53.0,247,577.0,2019-10-11 18:26:30,0.3.12,4.0,Haplotype VCF comparison tools.,,,18.0,11,3,50.0,1.0
83,gtz,Genetalks/gtz,compression,True,https://github.com/Genetalks/gtz,https://github.com/Genetalks/gtz,,2016-11-11 06:26:00,2020-12-15 08:32:01,2020-12-15 08:32:00,36.0,9.0,20.0,135,795.0,,,11.0,"A high performance and compression ratio compressor for genomic data, powered by GTXLab of Genetalks.",,,17.0,11,1,,
84,pindel,genome/pindel,structural-variation,True,https://github.com/genome/pindel,https://github.com/genome/pindel,GPL-3.0,2013-03-05 20:50:49,2020-01-07 15:06:31,2017-05-08 14:34:18,81.0,71.0,14.0,130,697.0,,,,"Pindel can detect breakpoints of large deletions, medium sized insertions, inversions, tandem duplications and other..",,,30.0,11,3,,
85,repaq,OpenGene/repaq,compression,True,https://github.com/OpenGene/repaq,https://github.com/OpenGene/repaq,MIT,2018-07-20 14:35:55,2020-06-14 22:14:51,2020-06-14 22:14:49,15.0,6.0,12.0,82,69.0,2020-01-07 10:03:07,0.3.0,4.0,A fast lossless FASTQ compressor with ultra-high compression ratio.,,,3.0,11,1,,
86,NeoPredPipe,MathOnco/NeoPredPipe,mhc-hla,True,https://github.com/MathOnco/NeoPredPipe,https://github.com/MathOnco/NeoPredPipe,LGPL-3.0,2018-12-08 11:23:31,2020-12-26 12:28:24,2020-12-26 12:28:16,15.0,2.0,21.0,57,251.0,2019-05-29 09:57:59,1.1,2.0,Neoantigens prediction pipeline for multi- or single-region vcf files using ANNOVAR and netMHCpan.,,,4.0,11,3,,
87,pbsv,PacificBiosciences/pbsv,structural-variation,True,https://github.com/PacificBiosciences/pbsv,https://github.com/PacificBiosciences/pbsv,BSD-3-Clause-Clear,2018-05-11 14:42:35,2020-10-15 18:46:32,2020-10-15 18:46:05,8.0,,,48,29.0,2020-09-23 10:35:39,2.4.0,10.0,pbsv - PacBio structural variant (SV) calling and analysis tools.,,,4.0,11,3,,
88,genozip,divonlan/genozip,compression,True,https://github.com/divonlan/genozip,https://github.com/divonlan/genozip,,2019-12-15 05:23:54,2021-02-20 02:46:09,2021-02-20 02:45:55,1.0,,3.0,44,2070.0,2021-02-20 02:53:03,genozip-11.0.4,32.0,"Compressor for genomic files (FASTQ, SAM/BAM, VCF, FASTA, GVF, 23andMe...), up to 5x better than gzip and faster too.",,,5.0,11,1,,
89,GTCtoVCF,Illumina/GTCtoVCF,others,True,https://github.com/Illumina/GTCtoVCF,https://github.com/Illumina/GTCtoVCF,Apache-2.0,2017-10-16 21:28:37,2020-07-09 21:37:46,2020-04-07 18:07:47,18.0,10.0,28.0,25,103.0,2020-04-07 18:05:32,1.2.1,2.0,Script to convert GTC/BPM files to VCF.,,,10.0,11,3,,
90,CrossMap,liguowang/CrossMap,others,True,https://github.com/liguowang/CrossMap,https://github.com/liguowang/CrossMap,,2018-07-03 19:06:16,2021-01-14 17:00:22,2021-01-14 16:59:58,10.0,13.0,9.0,12,50.0,2020-12-30 17:13:19,0.5.2,6.0,CrossMap is a python program to lift over genome coordinates from one genome version to another.,11.0,11.0,2.0,11,3,,
91,varscan,dkoboldt/varscan,variant-caller,True,https://github.com/dkoboldt/varscan,https://github.com/dkoboldt/varscan,,2015-08-19 17:02:46,2019-07-25 19:52:17,2019-07-25 19:51:52,29.0,54.0,6.0,115,10.0,2016-05-26 17:45:18,2.4.2,3.0,Variant calling and somatic mutation/CNV detection for next-generation sequencing data.,,,2.0,10,3,12223.0,188.0
92,SnpEff,pcingola/SnpEff,variant-annotation,True,https://github.com/pcingola/SnpEff,https://github.com/pcingola/SnpEff,,2014-01-31 22:22:33,2021-01-31 00:17:12,2021-01-31 00:17:07,52.0,13.0,248.0,115,2367.0,,,,,,,19.0,10,3,,
93,InterVar,WGLab/InterVar,variant-annotation,True,https://github.com/WGLab/InterVar,https://github.com/WGLab/InterVar,,2015-11-17 07:16:03,2021-02-05 18:56:47,2021-02-05 18:56:08,62.0,25.0,27.0,112,138.0,2020-01-02 15:20:28,V2.1.3,9.0,A bioinformatics software tool for clinical interpretation of genetic variants by the 2015 ACMG-AMP guideline.,,,3.0,10,3,,
94,mutect,broadinstitute/mutect,variant-caller,True,https://github.com/broadinstitute/mutect,https://github.com/broadinstitute/mutect,,2013-01-29 15:09:43,2015-08-26 07:00:26,2014-06-01 20:34:34,40.0,8.0,1.0,87,122.0,2013-08-22 21:08:56,1.1.5,1.0,MuTect -- Accurate and sensitive cancer mutation detection.,,,4.0,10,3,5846.0,64.0
95,mutalyzer,mutalyzer/mutalyzer,others,True,https://github.com/mutalyzer/mutalyzer,https://github.com/mutalyzer/mutalyzer,,2014-12-08 13:39:52,2021-01-07 22:16:31,2020-11-24 11:48:33,18.0,121.0,195.0,81,1456.0,,,,HGVS variant nomenclature checker.,,,9.0,10,3,,
96,pbmm2,PacificBiosciences/pbmm2,ngs-alignment,True,https://github.com/PacificBiosciences/pbmm2,https://github.com/PacificBiosciences/pbmm2,BSD-3-Clause-Clear,2017-11-12 13:19:24,2020-09-23 09:41:09,2020-09-22 12:27:21,15.0,,,75,,2020-09-23 09:42:08,1.4.0,3.0,A minimap2 frontend for PacBio native data formats.,,,10.0,10,3,,
97,fastv,OpenGene/fastv,fasta-fastq,True,https://github.com/OpenGene/fastv,https://github.com/OpenGene/fastv,MIT,2020-03-26 03:33:51,2020-09-29 01:10:39,2020-09-29 01:10:37,11.0,4.0,7.0,68,110.0,2020-05-25 08:45:21,0.8.1,6.0,An ultra-fast tool for identification of SARS-CoV-2 and other microbes from sequencing data. This tool can be used to..,,,2.0,10,3,,
98,Spring,shubhamchandak94/Spring,compression,True,https://github.com/shubhamchandak94/Spring,https://github.com/shubhamchandak94/Spring,,2018-04-03 18:29:30,2020-11-14 19:20:08,2020-11-14 19:20:07,14.0,,19.0,43,43.0,2020-11-14 16:03:48,1.0.1,2.0,FASTQ compression.,,,,10,3,,
99,PharmCAT,PharmGKB/PharmCAT,others,True,https://github.com/PharmGKB/PharmCAT,https://github.com/PharmGKB/PharmCAT,MPL-2.0,2016-04-07 01:38:19,2021-02-20 04:14:05,2020-09-09 03:03:29,16.0,8.0,27.0,38,,,,10.0,The Pharmacogenomic Clinical Annotation Tool.,,,15.0,10,3,1026.0,18.0
100,msisensor-pro,xjtu-omics/msisensor-pro,msi-detection,True,https://github.com/xjtu-omics/msisensor-pro,https://github.com/xjtu-omics/msisensor-pro,,2019-07-04 11:30:56,2021-02-03 13:16:10,2021-02-03 13:15:59,7.0,9.0,10.0,25,132.0,2021-02-01 13:51:06,1.2.0,5.0,Microsatellite Instability (MSI) detection using high-throughput sequencing data.,,,2.0,10,2,4.0,0.0
101,IMGTHLA,ANHIG/IMGTHLA,mhc-hla,True,https://github.com/ANHIG/IMGTHLA,https://github.com/ANHIG/IMGTHLA,,2014-09-27 18:57:55,2021-02-17 15:20:04,2021-02-17 15:20:04,36.0,1.0,81.0,82,,,,7.0,Github for files currently published in the IPD-IMGT/HLA FTP Directory hosted at the European Bioinformatics Institute.,,,4.0,9,3,,
102,tabix,samtools/tabix,others,True,https://github.com/samtools/tabix,https://github.com/samtools/tabix,,2012-03-09 01:46:15,2020-12-08 17:07:45,2013-12-16 15:52:13,37.0,7.0,6.0,81,84.0,,,,Note: tabix and bgzip binaries are now part of the HTSlib project.,,,4.0,9,3,,
103,RepeatMasker,rmhubley/RepeatMasker,others,True,https://github.com/rmhubley/RepeatMasker,https://github.com/rmhubley/RepeatMasker,,2017-04-17 19:26:34,2021-02-18 17:00:57,2020-09-02 22:20:22,24.0,27.0,59.0,72,89.0,,,,RepeatMasker is a program that screens DNA sequences for interspersed repeats and low complexity DNA sequences.,,,3.0,9,3,,
104,HLA,humanlongevity/HLA,mhc-hla,True,https://github.com/humanlongevity/HLA,https://github.com/humanlongevity/HLA,,2017-06-20 00:18:07,2018-10-11 14:16:08,2017-10-04 19:06:05,35.0,39.0,16.0,66,160.0,,,,xHLA: Fast and accurate HLA typing from short read sequence data.,,,4.0,9,3,,
105,bedtk,lh3/bedtk,bed-gtf-gff,True,https://github.com/lh3/bedtk,https://github.com/lh3/bedtk,MIT,2019-10-02 18:29:37,2020-08-19 16:07:13,2020-08-19 16:06:45,9.0,1.0,,102,26.0,,,,A simple toolset for BED files (warning: CLI may change before bedtk becomes stable).,,,2.0,8,3,,
106,AnnotSV,lgmgeo/AnnotSV,structural-variation,True,https://github.com/lgmgeo/AnnotSV,https://github.com/lgmgeo/AnnotSV,GPL-3.0,2019-07-09 11:05:44,2021-02-14 08:56:16,2021-02-12 09:50:05,12.0,4.0,34.0,58,102.0,,,,Annotation and Ranking of Structural Variation.,,,2.0,8,3,,
107,msisensor2,niu-lab/msisensor2,msi-detection,True,https://github.com/niu-lab/msisensor2,https://github.com/niu-lab/msisensor2,GPL-3.0,2019-08-26 07:21:04,2019-11-21 13:28:32,2019-11-21 13:28:02,12.0,16.0,3.0,51,23.0,,,,Microsatellite instability (MSI) detection for tumor only data.,,,3.0,8,3,,
108,pblat,icebert/pblat,sequence-alignment,True,https://github.com/icebert/pblat,https://github.com/icebert/pblat,,2014-09-23 05:25:02,2020-06-14 15:31:47,2020-06-14 15:12:26,9.0,3.0,11.0,32,43.0,2020-06-14 15:31:47,2.5,10.0,parallelized blat with multi-threads support.,,,5.0,8,2,,
109,msisensor-ct,niu-lab/msisensor-ct,msi-detection,True,https://github.com/niu-lab/msisensor-ct,https://github.com/niu-lab/msisensor-ct,GPL-3.0,2020-06-18 13:42:02,2021-02-20 02:26:30,2021-02-20 02:25:58,,3.0,,4,37.0,,,,Microsatellite instability (MSI) detection for cfDNA samples.,,,3.0,7,3,,
110,trimmomatic,timflutre/trimmomatic,qc-fastq,True,https://github.com/timflutre/trimmomatic,https://github.com/timflutre/trimmomatic,,2015-03-10 12:12:05,2015-03-10 12:54:27,2015-03-10 12:53:47,65.0,3.0,13.0,98,8.0,,,,Read trimming tool for Illumina NGS data.,,,2.0,6,3,,
111,tabtk,lh3/tabtk,others,True,https://github.com/lh3/tabtk,https://github.com/lh3/tabtk,,2014-09-08 14:01:44,2016-09-08 13:57:23,2016-08-11 18:12:28,12.0,,1.0,53,20.0,2016-09-08 13:57:23,0.1,1.0,Toolkit for processing TAB-delimited format.,,,,6,3,,
112,blat,djhshih/blat,sequence-alignment,True,https://github.com/djhshih/blat,https://github.com/djhshih/blat,,2017-01-02 05:30:20,2019-01-11 22:22:14,2019-01-11 22:22:13,5.0,,1.0,10,34.0,2017-01-02 08:00:11,35.1,1.0,BLAST-Like Alignment Tool.,,,,6,2,,
113,clustal-omega,GSLBiotech/clustal-omega,sequence-alignment,True,https://github.com/GSLBiotech/clustal-omega,https://github.com/GSLBiotech/clustal-omega,GPL-2.0,2017-12-18 19:14:55,2018-01-03 00:22:14,2018-01-02 23:18:13,1.0,1.0,,4,4.0,2018-01-02 23:27:45,1.2.4-cmake,2.0,Multiple sequence aligner for protein and DNA/RNA.,,,2.0,6,2,,
114,t-coffee,GSLBiotech/t-coffee,sequence-alignment,True,https://github.com/GSLBiotech/t-coffee,https://github.com/GSLBiotech/t-coffee,,2017-12-18 21:38:38,2020-02-13 04:27:43,2020-02-12 22:32:51,,,,3,23.0,2020-02-13 04:27:43,11.00.8cbe486-thread4,5.0,"Tools for multiple alignments of DNA, RNA, and Proteins.",,,5.0,6,2,,
115,mafft,GSLBiotech/mafft,sequence-alignment,True,https://github.com/GSLBiotech/mafft,https://github.com/GSLBiotech/mafft,,2018-08-08 01:56:16,2020-09-17 14:57:19,2020-09-17 14:52:12,3.0,1.0,,9,4.0,2018-08-08 02:32:41,7.407-without-extensions-msvc,1.0,Align multiple amino acid or nucleotide sequences.,,,2.0,4,3,,
116,muscle,GSLBiotech/muscle,sequence-alignment,True,https://github.com/GSLBiotech/muscle,https://github.com/GSLBiotech/muscle,,2018-08-21 16:00:26,2020-10-07 16:23:21,2020-10-07 16:13:14,1.0,,,2,9.0,2020-02-11 15:34:07,3.8.1551.gsl3,1.0,Multiple Sequence Comparison by Log-Expectation.,,,4.0,3,3,,
